From/to,deport,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
95,12328,7185,8667,9350,4870,8993,7324,6891,3966,5363,1048,6871,6498,9577,11003,6587,7552,9326,5266,4746,9006,5266,15029,13673,15226,12786,13084,10044,12855,7972,6004,6044,7824,6515,9668,19698,6328,7095,12422,7748,8092,6092,7522,9569,9352,8720,9730,10518,18634,12222,7310,4033,5381,9255,8192,11002,11746,10880,9447,4283,6196,8000,11236,9842,2604,10461,10289,7481,6499,6868,8260,18040,9328,14266,14507,4438,10660,7819,4856,10966,7602,7819,7411,5770,5720,5659,3477,3067,3396,2676,2750,3080,3276,4155,4484,0,101,3436,3435,2301,4630,4310,7366,5289,5735,5817,6138,5918,4797,8616,8149,10664,10816,13269,13269,14150,21391,16783,15280,14196,14734,14780,15845,14638,13097,10339,5373,4710,7125,3154,2645,2998,2610,2094,1064,819,2576,3796,4060,4008
96,12472,7031,8566,9249,4768,8892,7223,6790,3955,5352,948,6860,6487,9567,10902,6576,7696,9470,5165,4890,9150,5165,14928,13662,15125,12685,13073,9943,12844,8116,6147,6188,7968,6659,9812,19842,6471,7238,12566,7892,8236,6236,7666,9558,9342,8709,9630,10417,18533,12121,7156,3932,5525,9399,8038,11146,11645,11024,9346,4272,6340,7990,11225,9740,2503,10360,10188,7625,6643,7012,8404,17938,9318,14165,14497,4582,10803,7963,4755,10955,7746,7963,7555,5914,5863,5803,3621,3210,3540,2819,2894,3224,3420,4299,4628,101,0,3425,3424,2291,4774,4454,7510,5432,5879,5961,6282,6062,4941,8760,8292,10808,10960,13412,13413,14294,21535,16926,15424,14340,14878,14924,15989,14781,13240,10483,5220,4854,7269,3297,2789,3142,2753,2238,1208,963,2475,3940,4204,4152
97,13149,5118,5365,6048,3858,5691,4022,3809,3115,2372,2919,6021,5647,8727,7553,5737,7981,9258,2450,3946,9827,2450,11727,12304,11924,9336,12234,6594,12004,9328,10230,7859,9180,9753,13542,20520,10201,10968,16221,11622,11588,9965,11017,8718,8502,7869,6281,7068,15184,8772,5243,3889,5729,8969,6726,11823,8444,11702,6145,3432,4893,7150,9286,6392,1794,7159,6839,10976,10373,10106,12133,14590,8478,10816,13139,6248,11481,7879,3107,8697,7862,7879,8597,7580,7529,7468,6958,6547,6312,6549,5843,6954,6773,8061,8390,3388,3377,0,1,3845,4017,4230,7149,5071,5872,5954,7245,7354,7310,10052,9585,13266,13419,14705,14705,15586,22827,18219,16716,14759,15297,15343,15634,14660,13660,10902,4939,5983,7947,6710,6229,6582,6387,4788,4937,4693,3050,7627,7541,7489
98,13149,5118,5365,6047,3857,5690,4021,3809,3115,2372,2918,6020,5647,8726,7553,5736,7980,9257,2449,3945,9827,2450,11726,12304,11923,9335,12233,6593,12004,9328,10230,7859,9180,9752,13541,20519,10200,10967,16221,11621,11587,9964,11017,8718,8502,7869,6280,7068,15184,8772,5243,3888,5728,8969,6726,11823,8443,11702,6144,3432,4892,7150,9285,6391,1793,7158,6838,10976,10372,10106,12133,14589,8477,10816,13138,6247,11481,7878,3107,8697,7861,7878,8597,7579,7528,7468,6957,6546,6312,6548,5843,6953,6772,8061,8389,3387,3377,1,0,3844,4017,4229,7148,5070,5872,5954,7244,7354,7309,10052,9584,13266,13418,14704,14705,15586,22827,18218,16716,14758,15296,15342,15634,14659,13659,10901,4938,5982,7946,6709,6229,6582,6386,4787,4936,4692,3050,7626,7540,7488
99,13791,8648,8908,9590,6842,9233,7565,7352,2340,3737,2964,5246,4872,7952,10094,4962,9015,10789,6217,3171,10469,6217,15270,12048,15466,12879,11459,10137,11230,9435,7068,7506,9287,7978,10577,21161,7236,7699,12476,8192,7842,7000,7272,7944,7727,7094,9824,11580,16502,12315,8772,5948,6844,10718,9654,12465,11986,12343,9687,2658,4118,6375,9610,9935,4519,10702,10382,7231,7408,8331,9168,17096,7703,14007,12882,5901,12122,9282,6771,9340,9065,9282,8874,7233,7182,7122,4542,4131,2567,3584,4213,3988,3027,4316,4644,2039,2209,3503,3502,0,3243,1843,5849,3771,4218,4300,4621,4401,3318,7099,6632,10313,10466,11752,11752,12633,19874,15266,13763,12678,13217,13263,14328,13120,11580,8822,6836,6173,8588,4616,4108,4461,4072,3557,2527,2282,4491,5259,5125,5073
100,15866,9060,9083,9765,7799,9408,7739,7527,1222,3115,5038,3334,3235,7068,9210,3488,11090,12864,6391,265,12544,6392,15444,11165,15641,13053,10576,10311,10347,11510,9126,9582,11362,10053,12679,23236,9339,9529,14305,10021,9672,9103,9101,7060,6845,6210,9998,10696,15618,12490,9185,8023,8919,12793,11730,14540,12161,14418,9862,1539,2091,4464,8727,10229,6594,10876,10556,9060,9510,10406,11271,16212,6820,13123,11999,7976,14198,11357,7049,8456,11140,11357,10949,9308,9258,9197,6599,6189,4396,5687,6288,6091,4857,6145,6474,4114,4284,4193,4192,2604,0,212,3261,1183,1985,2067,3357,3467,3422,6165,5697,9378,9531,10817,10818,11699,18940,14331,12829,10968,11506,11553,13394,10869,9869,7112,8911,8248,10663,6691,6183,6536,6147,5632,4602,4357,6566,7334,7182,7130
101,15568,9272,9295,9978,8011,9620,7952,7739,1434,3328,4741,3546,3448,7280,9422,3701,10792,12567,6604,478,12246,6604,15657,11378,15853,13266,10788,10524,10560,11212,8828,9284,11064,9755,12382,22938,9041,9231,14007,9724,9374,8805,8804,7272,7057,6423,10211,10908,15830,12702,9397,7725,8621,12496,11432,14242,12374,14121,10074,1751,2304,4676,8939,10441,6296,11089,10769,8762,9213,10108,10973,16425,7033,13336,12212,7679,13900,11059,7261,8669,10843,11059,10651,9011,8960,8900,6302,5891,4099,5389,5990,5794,4559,5847,6176,3816,3987,4405,4405,2306,212,0,3473,1396,2197,2279,3570,3679,3634,6377,5910,9591,9744,11029,11030,11911,19152,14544,13041,11181,11719,11765,13606,11082,10082,7324,8613,7950,10365,6394,5886,6239,5850,5335,4304,4060,6268,7037,6885,6833
102,18597,11993,12016,12698,10732,12341,10673,10460,4633,4933,7770,2979,3097,6930,9072,3122,13822,15596,9325,3677,15275,9325,18378,11027,18574,15755,10438,12646,10209,14242,11107,12313,14094,12784,14255,25968,10914,10938,15714,11430,11081,10678,10511,6921,6706,6072,12333,10557,15479,15191,12118,10763,11650,15525,13601,17271,15094,17150,12795,4950,2765,4109,8588,10090,9325,13810,10787,10470,11086,11767,12847,16074,6682,12985,11861,10708,16929,14088,9982,8318,13872,14088,13680,12040,11989,11929,8580,8170,5879,7164,9020,7569,6556,7554,7883,6845,7016,7126,7126,5335,3561,3774,0,2092,1629,1820,2063,2368,3251,5993,5526,9207,9360,10646,10646,11527,16175,11567,10064,8772,9310,9357,9648,8673,7673,4915,11642,10980,13394,9423,8915,9268,8879,8364,7333,7089,9298,10066,9164,9112
103,16564,10073,10096,10778,8812,10421,8752,8540,2235,4106,5736,2151,2270,6102,8245,2293,11788,13562,7404,1278,13242,7405,16457,9975,16654,14928,9386,11324,9157,12208,9824,10280,12060,10751,13377,23934,10036,10227,15003,10719,10370,9801,9799,6094,5654,5245,11011,9730,14652,14364,10198,8721,9617,13491,12427,15238,13174,15116,10875,2552,1542,3280,7761,9263,7292,11889,9960,9758,10208,11104,11969,15247,5630,12158,10809,8674,14896,12055,8062,7491,11838,12055,11647,10006,9956,9895,7297,6887,5094,6385,6986,6789,5555,6843,7172,4812,4982,5206,5205,3302,1163,1375,2078,0,1366,1448,3786,3895,3850,6593,6126,9807,9960,11246,11246,12127,17188,12580,11077,9785,10323,10370,10661,9686,8686,5928,9609,8946,11361,7389,6881,7234,6845,6330,5300,5055,7264,8032,7880,7828
104,16991,10865,10888,11571,9604,11214,9545,9332,3027,5381,6164,3480,3556,7388,9530,3623,12215,13990,8197,2071,13669,8197,17250,11486,17446,14859,10896,12117,10667,12635,10251,10707,12487,11178,13684,24361,10343,10367,15144,10860,10510,10107,9940,7380,7165,6531,11804,11016,15938,14295,10990,9148,10044,13918,12855,15665,13967,15543,11667,3344,2412,4610,9047,10549,7719,12682,11246,9898,10515,11531,12276,16533,7141,13444,12320,9102,15323,12482,8854,8777,12265,12482,12074,10434,10383,10322,7724,7314,5308,6593,7413,6998,5985,6984,7312,5239,5409,5998,5998,3729,1955,2167,3408,1366,0,191,2615,2724,2680,5422,4955,8636,8789,10075,10075,10956,18197,13589,12086,10589,11128,11174,12652,11031,9490,6733,10036,9373,11788,7816,7308,7662,7272,6757,5727,5482,7691,8459,8307,8255
105,17073,10947,10970,11653,9686,11295,9627,9414,3109,5463,6246,3562,3638,7470,9612,3705,12297,14072,8279,2153,13751,8279,17332,11568,17528,14941,10978,12199,10749,12717,10333,10789,12569,11260,13875,24443,10535,10558,15335,11051,10701,10299,10131,7462,7247,6613,11886,11098,16020,14377,11072,9230,10126,14000,12937,15747,14049,15625,11749,3426,2494,4692,9129,10631,7801,12764,11328,10090,10706,11613,12467,16615,7223,13526,12402,9184,15405,12564,8936,8859,12347,12564,12156,10516,10465,10404,7806,7396,5603,6894,7495,7298,6176,7175,7503,5321,5491,6080,6080,3811,2037,2249,3490,1448,191,0,2806,2916,2871,5614,5146,8827,8980,10266,10267,11148,18388,13780,12278,10781,11319,11365,12843,11223,9682,6924,10118,9455,11870,7898,7390,7744,7354,6839,5809,5564,7773,8541,8389,8337
106,17234,12091,11884,12567,10286,12210,10541,10328,4023,5917,6407,5511,5412,9245,11387,5665,12459,14233,9193,3067,13912,9193,18246,13342,18442,15855,12753,13113,12524,12879,9806,10950,12731,11422,12955,24605,9614,9638,14414,10130,9781,9378,9210,9237,9022,8387,12800,12873,17795,15291,12216,9392,10288,14162,13098,15908,14963,15787,12664,4340,4268,6640,10904,12405,7962,13678,13102,9169,9786,10467,11546,18389,8997,15300,14176,9345,15566,12725,9850,10633,12509,12725,12317,10677,10626,10566,7280,6870,4579,5864,7657,6268,5256,6254,6583,5482,5653,6994,6994,3972,2951,3163,3187,3360,2002,2194,0,387,1950,4518,4050,7731,7884,9170,9170,10052,17292,12684,11181,9610,10148,10194,11747,10052,8511,5753,10279,9617,12032,8060,7552,7905,7516,7001,5970,5726,7935,8242,7863,7811
107,16913,11770,11545,12228,9964,11870,10202,9989,3684,5578,6086,5172,5073,8906,11048,5326,12138,13912,8854,2728,13591,8854,17907,13003,18103,15516,12414,12774,12185,12557,9467,10629,12409,11100,12616,24283,9275,9299,14075,9791,9442,9039,8871,8898,8682,8048,12461,12534,17456,14952,11895,9070,9966,13840,12777,15587,14624,15466,12324,4001,3929,6301,10564,12066,7641,13339,12763,8830,9447,10128,11207,18050,8658,14961,13837,9024,15245,12404,9511,10294,12188,12404,11996,10356,10305,10244,6941,6531,4240,5525,7335,5929,4916,5915,6244,5161,5332,6655,6655,3651,2612,2824,3327,3021,2142,2334,724,0,1611,4178,3711,7392,7545,8831,8831,9712,16953,12345,10842,9750,10288,10334,11408,10192,8651,5893,9958,9295,11710,7739,7230,7584,7195,6680,5649,5405,7613,7903,7524,7472
108,16900,11756,12358,13041,9951,12684,11015,10803,4498,6391,6072,5985,5887,9719,11861,6140,12124,13898,9667,3541,13578,9668,18720,13816,18917,16329,13228,13587,12998,11467,8780,10615,11319,10082,10882,24270,7541,7564,12341,8057,7707,7305,7137,9711,9496,8862,13274,13347,18269,15766,11881,9057,9953,13827,12763,15573,15437,15452,13138,4814,4742,7115,11378,12880,7628,14152,13577,7096,7712,9441,9473,18864,9472,15775,14651,9010,15231,12390,9880,11108,12174,12390,11983,10342,10291,10231,6254,5844,2798,4838,7322,5242,3182,4181,4509,5148,5318,7469,7468,3638,3426,3638,4141,3835,2956,3147,2506,2286,0,4984,4516,7453,7606,9636,9637,10518,17759,13151,11648,10564,11102,11148,12213,11006,9464,6707,9944,9282,11697,7086,7217,7570,7181,6666,5635,4656,7600,7216,6837,6785
109,19351,14208,14001,14684,12403,14326,12658,12445,6140,8034,8524,7628,7529,11362,13504,7782,14576,16350,11310,5184,16029,11310,20363,15459,20559,17972,14870,15230,14641,14995,11923,13067,14847,13538,14668,26722,11327,11351,16127,11843,11494,11091,10923,11354,11138,10504,14917,14989,19912,17408,14333,11508,12404,16279,15215,18025,17080,17904,14780,6457,6385,8757,13020,14522,10079,15795,15219,10882,11499,12584,13259,20506,11114,17417,16293,11462,17683,14842,11967,12750,14626,14842,14434,12794,12743,12683,9397,8986,6584,7981,9773,8385,6968,7967,8296,7599,7770,9111,9111,6089,5068,5280,5783,5477,4598,4790,2744,2524,4067,0,1743,6035,6188,7474,7475,8356,15596,10988,9486,10255,11180,11134,10051,12648,10052,8349,12396,11734,14148,10177,9669,10022,9633,9118,8087,7843,10052,10359,9980,9928
110,20297,15154,14947,15629,13349,15272,13604,13391,7086,8979,9470,8574,8475,12308,14450,8728,15522,17296,12256,6129,16975,12256,21308,16405,21505,18918,15816,16176,15587,13811,10736,12490,13663,12038,13775,28439,10434,11202,16164,14437,12976,10198,11012,12299,12084,11450,15862,15935,20857,18354,15279,12454,13350,17224,16161,18971,18025,18850,15726,7403,7331,9703,13966,15468,11025,16740,16165,10971,10606,11396,12367,21452,12060,18363,17239,12408,18629,15788,12913,13696,15572,15788,15380,13740,13689,13628,8866,9604,6427,7107,10719,7483,6756,8056,8384,8545,8716,10057,10057,7035,6014,6226,6729,6423,5544,5735,3690,3470,5013,1690,0,3607,3760,6892,6893,7774,15015,10407,8904,9674,10598,10552,9469,11179,9471,9295,13342,12679,15094,10846,10614,10968,10579,10064,9033,8670,10997,9628,8917,8865
111,22633,17490,19424,20107,15684,19750,18081,17648,11973,13910,11806,13710,13650,17482,19624,13903,17857,19632,16023,11017,19311,16023,25786,21579,25983,23051,20990,20309,20761,19076,12469,14223,18928,17303,15967,30611,13189,12327,13345,11618,10158,13183,12857,17474,17259,16625,19996,21110,26032,22487,17615,14790,15686,19560,18497,19534,22503,21186,20204,12290,12505,14840,19141,20107,13361,21218,20554,10938,14212,13130,14559,26627,17234,23537,22414,14744,20965,18124,15613,18871,17907,18124,17716,14791,14740,14680,10600,11337,9115,8840,13055,9216,8490,9789,10118,10881,11052,13675,13675,10271,10901,10582,11904,11560,10719,10910,7925,7705,7763,6017,5262,0,194,6498,6505,7838,13175,11572,10070,10840,11764,11718,10635,12345,10637,10206,15678,15015,17430,12579,12696,12636,12211,12400,11369,10404,13333,11361,10651,10599
112,22786,17642,19577,20260,15837,19903,18234,17800,12126,14062,11958,13863,13802,17635,19777,14055,18010,19784,16176,11170,19464,16176,25939,21732,26136,23204,21143,20461,20914,19229,12622,14376,19081,17455,16120,30764,13342,12480,13498,11771,10310,13336,13010,17627,17412,16777,20148,21263,26185,22640,17767,14943,15839,19713,18649,19686,22656,21338,20357,12443,12658,14992,19294,20259,13514,21371,20706,11091,14364,13282,14712,26779,17387,23690,22566,14896,21118,18277,15766,19023,18060,18277,17869,14944,14893,14832,10752,11489,9267,8993,13208,9369,8642,9942,10270,11034,11204,13828,13827,10424,11054,10734,12056,11712,10871,11063,8077,7858,7916,6170,5415,194,0,6304,6311,7644,12981,11378,9876,10646,11570,11524,10441,12151,10443,12228,15830,15168,17583,12732,12849,12789,12364,12552,11522,10556,13486,11514,10803,10751
113,25029,19885,19678,20361,18080,20004,18335,18122,11817,13206,14201,11251,11369,15202,17344,11394,20253,22027,16987,10861,21707,16988,26040,19058,26237,24420,16673,20907,16444,20673,16492,18744,20525,17794,20598,32399,17820,16958,17976,16249,14788,15954,17488,15194,14978,14344,20594,18830,23752,23856,20010,17186,18082,21956,20892,23702,22757,23581,20458,12134,11038,12381,16860,18362,15757,21472,19059,15569,16362,17152,19190,24346,14954,21257,19892,17139,23360,20520,17644,16590,20303,20520,20112,18471,18420,18360,14622,14664,12262,12863,15451,13239,12646,13644,13973,13277,13447,14789,14788,11767,10745,10958,10047,11154,10276,10467,8421,8202,9745,6513,6829,6493,6299,0,8,1340,9683,5075,3572,4342,5267,5220,4137,5847,4139,5924,18074,17411,19826,15854,15346,15699,15310,14795,13764,13520,15729,15384,14673,14621
114,25029,19886,19679,20362,18081,20004,18336,18123,11818,13206,14202,11252,11370,15202,17344,11394,20254,22028,16988,10862,21707,16988,26041,19059,26237,24420,16673,20908,16444,20673,16492,18745,20525,17794,20606,32400,17828,16966,17984,16257,14796,15955,17496,15194,14979,14345,20595,18830,23752,23856,20011,17186,18082,21957,20893,23703,22758,23582,20458,12135,11038,12381,16861,18363,15757,21473,19060,15577,16363,17153,19198,24347,14955,21258,19893,17140,23361,20520,17645,16591,20304,20520,20112,18472,18421,18361,14623,14664,12262,12864,15451,13240,12646,13645,13974,13277,13448,14789,14789,11767,10746,10958,10047,11155,10276,10468,8422,8202,9745,6514,6830,6500,6307,8,0,1341,9684,5075,3573,4342,5267,5221,4138,5848,4140,5925,18074,17412,19826,15855,15347,15700,15311,14796,13765,13521,15730,15384,14674,14622
115,25910,20767,20560,21243,18962,20885,19217,19004,12699,14087,15083,12133,12251,16083,18226,12276,21135,22909,17869,11743,22588,17869,26922,19329,27118,24690,16943,21789,16714,21554,17374,19626,21406,18675,21938,33281,17072,18298,19316,17589,16129,16836,18828,16075,15860,15226,21476,19711,24633,24126,20892,18068,18963,22838,21774,24584,23638,24463,21339,13016,11919,13262,17742,19244,16638,22354,19941,16909,17244,18034,20530,25228,15836,22139,20163,18021,24242,21401,18526,17472,21185,21401,20993,19353,19302,19242,15504,15546,13144,13745,16332,14121,13527,14526,14855,14158,14329,15670,15670,12648,11627,11839,10928,12036,11157,11349,9303,9083,10626,7395,7711,7124,7639,1340,1341,0,7735,3126,2848,4612,5537,5491,4408,6118,4410,6806,18955,18293,20708,16736,16228,16581,16192,15677,14646,14402,16611,16266,15555,15503
116,33212,26509,26532,27215,25248,26857,25189,24976,20001,19449,22385,17495,17613,21446,23588,17638,28437,30211,23841,19045,29890,23841,34040,23316,34237,28677,20930,28850,20701,28061,24676,26928,27913,26288,24952,39596,22174,21312,22330,20603,19143,22168,21842,21437,22236,20588,28536,27014,29682,28113,26634,25370,26266,30140,28117,31886,30757,31765,27311,20318,17282,18625,23662,24606,23940,28326,27244,19923,23197,27101,23544,30277,22211,27188,24150,25323,31544,28703,24498,25056,28487,28703,28295,26655,26604,26544,22806,22848,20446,21047,23635,21423,20829,21828,22157,21460,21631,21642,21642,19950,18929,19141,16291,17296,17808,17999,16605,16385,17928,14697,15013,13179,12985,9818,9819,7747,0,5162,6145,7490,8415,8369,7286,10443,8735,12168,26257,25595,28010,24038,23530,23883,23494,22979,21948,21704,23913,23568,22857,22805
117,28592,21889,21912,22594,20628,22237,20568,20356,15381,14829,17765,12875,12993,16825,18967,13017,23816,25591,19220,14424,25270,19221,31045,20321,31242,25682,17935,22542,17706,24236,20055,22308,24088,21357,23710,35962,20932,20070,21088,19361,17900,19518,20600,16817,16602,15968,22229,20453,26687,25118,22014,20749,21645,25519,23497,27266,27762,27145,22691,15698,12661,14004,18484,19986,19320,23705,20682,18681,19926,20716,22302,27282,16578,24193,21155,20703,26924,24083,19878,18214,23866,24083,23675,22035,21984,21923,18186,18227,15825,16426,19014,16802,16209,17208,17536,16840,17010,17022,17021,15330,14309,14521,11670,12676,13188,13379,11984,11765,13308,10077,10393,9805,9958,5198,5198,3126,5150,0,1524,2870,3795,3748,2666,5823,4115,7548,21637,20974,23389,19418,18909,19263,18874,18359,17328,17084,19292,18947,18237,18185
118,27089,20386,20409,21092,19125,20734,19066,18853,13878,13326,16262,11372,11490,15323,17465,11515,22314,24088,17718,12922,23767,17718,29542,18818,29739,24179,16433,21039,16204,22734,18552,20805,22586,19854,21592,34460,18251,20330,21348,19621,18160,18015,18661,15314,15099,14465,20726,18950,25185,23616,20511,19247,20142,24017,21994,25763,26259,25642,21188,14195,11158,12502,16981,18483,17818,22203,19180,18941,18423,19213,20183,25779,15075,22690,19652,19200,25421,22580,18375,16711,22364,22580,22172,20532,20481,20421,16683,16725,14323,14924,17512,15300,14706,15705,16034,15338,15508,15519,15519,13827,12806,13018,10168,11173,11685,11876,10482,10262,11805,8574,8890,8303,8455,3695,3696,2848,6133,1524,0,1368,2292,2246,1163,4320,2612,6045,20134,19472,21886,17915,17407,17760,17371,16856,15825,15581,17790,17444,16734,16682
119,26427,19077,19100,19782,17816,19425,17756,17544,11960,12017,15600,10063,10181,14013,16155,10205,21652,23216,16408,11142,23105,16409,26946,16222,27143,21583,13836,19730,13607,22072,19144,20143,21924,20614,22183,33798,18842,20921,21939,20212,18751,18606,19252,14005,13790,13156,19417,17641,22588,21019,19202,17847,19687,23355,20685,25101,23663,24980,19879,12421,9849,11192,15672,17174,15928,20893,17870,19532,19014,19804,20775,23183,13766,20094,17056,18538,24759,21918,17066,15402,21702,21918,21510,19870,19819,19759,17274,16750,14914,15515,16850,15891,15298,16296,16625,14675,14846,14210,14209,13165,11026,11238,8858,9864,10376,10567,11073,10853,12397,9165,9481,8894,9046,4286,4287,4557,7505,2897,1394,0,1295,1248,876,3011,1303,4736,18897,18810,21224,17253,16745,17098,16709,16194,15163,14919,17128,17896,17325,17273
120,33233,19605,19628,20310,18344,19953,18284,18072,12488,12545,16128,10591,10709,14541,16684,10733,22180,29635,16936,11670,23633,16937,27250,16526,27447,21887,14140,22060,13912,22600,20215,20671,22452,21143,23117,34326,19776,21855,22873,21146,19685,19540,19786,14533,15446,13684,21747,20225,22892,21324,19730,18375,20216,23883,21213,25629,23967,25508,20407,12949,10377,11720,16872,17702,16456,21422,20454,20466,19948,21496,21708,23487,15422,20398,17360,19066,25287,22446,17594,15930,22230,22446,22038,20398,20347,20287,17689,17278,15154,16449,17378,16825,15831,16829,17158,15204,15374,14738,14738,13693,11554,11767,9386,10392,10904,11095,11338,11787,12526,10099,10415,9828,9980,5220,5221,5491,8417,3808,2306,1295,0,46,1129,3539,1831,5264,19426,19338,21753,17781,17273,17626,17237,16722,15691,15447,17656,18424,18272,18220
121,33279,19651,19674,20357,18390,20000,18331,18118,12534,12591,16174,10637,10755,14588,16730,10780,22226,29681,16983,11716,23680,16983,27297,16572,27493,21934,14187,22106,13958,22646,20262,20718,22498,21189,23070,34372,19730,21808,22826,21099,19639,19494,19832,14580,15492,13730,21793,20271,22939,21370,19776,18422,20262,23929,21259,25676,24014,25554,20454,12996,10424,11767,16918,17748,16503,21468,20501,20419,19901,21542,21662,23534,15468,20444,17407,19112,25334,22493,17640,15976,22276,22493,22085,20444,20394,20333,17735,17325,15200,16402,17424,16778,15877,16876,17204,15250,15420,14784,14784,13740,11601,11813,9433,10438,10950,11141,11384,11741,12572,10053,10369,9781,9934,5174,5174,5444,8370,3762,2259,1248,46,0,1083,3585,1877,5310,19472,19384,21799,17828,17319,17672,17283,16768,15738,15493,17702,18470,18213,18161
122,27485,19952,19975,20658,18692,20301,18632,18419,12835,12893,16658,10938,11056,14889,17031,11081,22710,24484,17284,13318,24163,17284,28380,17655,28576,23016,15270,23189,15041,23129,18948,21201,22981,20250,21988,34855,18647,20726,21744,20017,18556,18411,19057,14881,16575,14031,22876,21354,24022,22453,20077,18723,20538,24412,21560,26159,25096,26038,20755,13297,10725,12068,18001,18050,18213,21769,21584,19336,18819,19609,20579,24616,16551,21527,18489,19596,25817,22976,17941,16277,22760,22976,22568,20928,20877,20816,17079,17120,14718,15320,17907,15696,15102,16101,16429,15733,15904,15086,15085,14223,13202,13414,9734,10739,11251,11443,10878,10658,12201,8970,9286,8698,8851,4091,4091,4361,7288,2679,1177,876,1129,1083,0,3886,2178,5611,19773,19867,22282,18311,17802,18156,17767,17252,16221,15977,18185,17840,17130,17078
123,30010,18957,18979,19662,17696,19305,17636,17424,11839,11897,15866,9943,10060,14308,16829,10085,21918,26412,16288,11773,23371,16288,24027,13303,24224,18664,10917,18837,10688,22338,19203,20409,22190,20880,22351,38614,19010,19034,23810,19527,19177,18774,18607,13752,12223,12854,18524,17002,19669,18100,19082,17727,19567,23621,20564,25367,20744,29711,19759,12301,9729,11072,13649,17848,15808,23818,17231,18566,19182,19863,20943,20264,12199,17175,14137,18804,25025,22184,16946,15043,21968,22184,21776,20136,20085,20025,16676,16266,13975,15260,17116,15665,14652,15650,15979,14942,15112,14090,14089,13431,11657,11870,8738,9743,9725,9916,10159,10464,11347,10756,11072,10485,10637,5877,5878,6148,10455,5847,4344,3052,3591,3637,3928,0,1714,3758,18777,19076,21490,17519,17011,17364,16975,16460,15429,15185,17394,18162,17260,17208
124,25434,18083,18106,18789,16822,18432,16763,16550,10966,11024,14607,9069,9187,13020,15162,9212,20658,22223,15415,10148,22112,15415,25644,14919,25840,20280,12534,20453,12305,21078,18694,19150,20930,19621,22009,32804,18668,18692,21816,20089,18628,18432,18264,13012,12796,12162,20140,16648,21286,19717,18208,16854,18694,22361,19691,24108,22360,23986,18886,11428,8856,10199,14678,16180,14935,19900,16877,18223,18840,19974,20600,21880,12772,18791,15753,17545,23766,20925,16072,14408,20708,20925,20517,18877,18826,18765,16167,15757,13632,14918,15856,15322,14309,15308,15636,13682,13852,13216,13216,12172,10033,10245,7865,8870,9382,9574,9816,10122,11004,9042,9358,8770,8923,4163,4163,4433,8741,4133,2630,1338,1876,1923,2214,1708,0,3742,17904,17816,20231,16260,15751,16104,15716,15200,14170,13926,16134,16902,16750,16698
125,22465,15114,15137,15820,13853,15462,13794,13581,7997,8054,11638,6100,6218,10051,12193,6243,17689,19254,12446,7179,19143,12446,24423,13699,24620,19060,11313,15767,11084,18109,15725,16180,17961,16652,19039,29835,15699,15722,20499,16215,15865,15463,15295,10042,9827,9193,15454,13678,18600,18496,15239,13884,15725,19392,16722,21139,21140,21017,15916,8459,5886,7230,11709,13211,11966,16931,13908,15254,15870,17005,17631,19195,9803,16106,14533,14575,20796,17956,13103,11439,17739,17956,17548,15907,15856,15796,13198,12788,10663,11948,12887,12353,11340,12339,12667,10713,10883,10247,10247,9203,7064,7276,4896,5901,6413,6604,6847,7152,8035,9982,10310,9711,9863,5872,5872,6754,12033,7424,5922,4630,5168,5214,5506,3758,3531,0,14935,14847,17262,13290,12782,13135,12746,12231,11201,10956,13165,13933,13781,13729
126,8399,1849,5379,4648,1372,5623,5682,4881,7492,6749,4374,10398,10024,12281,9361,10114,3230,5388,3846,8322,5077,3846,13833,14112,9713,11144,16610,8402,16381,5811,7137,4342,5663,6496,12263,15769,10933,11694,15836,11483,13050,9826,11103,13095,12879,12246,8089,8876,16992,10580,1974,1994,978,5099,2856,7072,10550,6951,4348,7809,9270,11527,11094,8200,3520,6550,8647,12439,9193,6850,10855,16398,12855,12624,14946,2045,6730,3128,3098,10505,3111,3128,3846,2631,2682,2743,5869,5459,8354,7027,3299,6870,8233,8761,9089,5350,5249,4628,4628,7417,8394,8607,11526,9448,10249,10331,11622,10876,9755,13574,13106,15095,15248,18226,18227,19108,26349,21740,20238,19136,19674,19720,20011,19036,18036,15279,0,1232,3196,3957,3686,4039,3843,4363,4816,5737,3806,4947,6452,6400
